Performance,All trades,Long trades,Short trades,
Total net profit,$17130.00,$12030.00,$5100.00,
Gross profit,$17130.00,$12030.00,$5100.00,
Gross loss,$0.00,$0.00,$0.00,
Commission,$0.00,$0.00,$0.00,
Profit factor,99.00,99.00,99.00,
Max. drawdown,$0.00,$0.00,$0.00,
Sharpe ratio,1.21,0.86,0.65,
Sortino ratio,1.00,1.00,1.00,
Ulcer index,0.00,0.00,0.00,
R squared,0.97,0.95,1.00,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.01%,0.07%,1.03%,
,,,,
Start date,1/01/2025,,,
Start time,12:00 AM,,,
End date,15/11/2025,,,
End time,12:00 AM,,,
,,,,
Total # of trades,10,8,2,
Percent profitable,100.00%,100.00%,100.00%,
# of winning trades,10,8,2,
# of losing trades,0,0,0,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,$1713.00,$1503.75,$2550.00,
Avg. winning trade,$1713.00,$1503.75,$2550.00,
Avg. losing trade,$0.00,$0.00,$0.00,
Ratio avg. win / avg. loss,1713.00,1503.75,2550.00,
,,,,
Max. consec. winners,10,8,2,
Max. consec. losers,0,0,0,
Largest winning trade,$4220.00,$4220.00,$2550.00,
Largest losing trade,$0.00,$0.00,$0.00,
,,,,
Avg. # of trades per day,0.05,0.04,0.02,
Avg. time in market,254.00 min,256.25 min,245.00 min,
Avg. bars in trade,25.40,25.63,24.50,
Profit per month,$1964.15,$1379.38,$960.19,
Max. time to recover,0.13 days,0.13 days,0.07 days,
Longest flat period,53.74 days,95.74 days,160.92 days,
,,,,
Avg. MAE,$424.00,$363.75,$665.00,
Avg. MFE,$1919.00,$1760.00,$2555.00,
Avg. ETD,$206.00,$256.25,$5.00,
