Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,2904.0,2911.7,28/01/2025 09:40:00,28/01/2025 12:40:00,RangeLongEntry_1,RangeLongTarget,$770.00,$770.00,$0.00,$0.00,$0.00,$0.00,$0.00,$230.00,$770.00,$0.00,19,
2,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,2983.1,2995.2,6/02/2025 09:40:00,6/02/2025 16:00:00,RangeLongEntry_2,Exit on session close,$1210.00,$1980.00,$0.00,$0.00,$0.00,$0.00,$0.00,$140.00,$1430.00,$220.00,39,
4,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3331.0,3340.1,13/05/2025 09:40:00,13/05/2025 16:00:00,RangeLongEntry_4,Exit on session close,$910.00,$5440.00,$0.00,$0.00,$0.00,$0.00,$0.00,$140.00,$1670.00,$760.00,39,
5,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3380.7,3385.3,27/05/2025 09:40:00,27/05/2025 16:00:00,RangeLongEntry_5,Exit on session close,$460.00,$5900.00,$0.00,$0.00,$0.00,$0.00,$0.00,$750.00,$1180.00,$720.00,39,
6,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3448.3,3467.2,4/06/2025 09:30:00,4/06/2025 09:50:00,RangeLongEntry_6,RangeLongTarget,$1890.00,$7790.00,$0.00,$0.00,$0.00,$0.00,$0.00,$200.00,$1890.00,$0.00,3,
7,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,3493.6,3501.9,22/07/2025 09:40:00,22/07/2025 16:00:00,RangeLongEntry_7,Exit on session close,$830.00,$8620.00,$0.00,$0.00,$0.00,$0.00,$0.00,$60.00,$1180.00,$350.00,39,
9,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,4000.0,4017.4,10/10/2025 09:40:00,10/10/2025 10:10:00,RangeLongEntry_9,RangeLongTarget,$1740.00,$12910.00,$0.00,$0.00,$0.00,$0.00,$0.00,$420.00,$1740.00,$0.00,4,
10,GC 12-25,Backtest,RangeOpenAdvanced305,Long,1,4342.5,4384.7,20/10/2025 09:40:00,20/10/2025 14:40:00,RangeLongEntry_10,RangeLongTarget,$4220.00,$17130.00,$0.00,$0.00,$0.00,$0.00,$0.00,$970.00,$4220.00,$0.00,31,
3,GC 12-25,Backtest,RangeOpenAdvanced305,Short,1,3242.3,3216.8,1/04/2025 09:40:00,1/04/2025 11:20:00,RangeShortEntry_3,RangeShortTarget,$2550.00,$4530.00,$0.00,$0.00,$0.00,$0.00,$0.00,$780.00,$2550.00,$0.00,11,
8,GC 12-25,Backtest,RangeOpenAdvanced305,Short,1,3689.3,3663.8,9/09/2025 09:30:00,9/09/2025 16:00:00,RangeShortEntry_8,Exit on session close,$2550.00,$11170.00,$0.00,$0.00,$0.00,$0.00,$0.00,$550.00,$2560.00,$10.00,40,
