Performance,All trades,Long trades,Short trades,
Total net profit,$6476.40,$6476.40,$0.00,
Gross profit,$6476.40,$6476.40,$0.00,
Gross loss,$0.00,$0.00,$0.00,
Commission,$0.00,$0.00,$0.00,
Profit factor,99.00,99.00,1.00,
Max. drawdown,$0.00,$0.00,$0.00,
Sharpe ratio,0.96,0.96,1.00,
Sortino ratio,1.00,1.00,1.00,
Ulcer index,0.00,0.00,0.00,
R squared,0.99,0.99,0.00,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.00%,0.00%,0.00%,
,,,,
Start date,1/01/2025,,,
Start time,12:00 AM,,,
End date,15/11/2025,,,
End time,12:00 AM,,,
,,,,
Total # of trades,7,7,0,
Percent profitable,100.00%,100.00%,0.00%,
# of winning trades,7,7,0,
# of losing trades,0,0,0,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,$925.20,$925.20,$0.00,
Avg. winning trade,$925.20,$925.20,$0.00,
Avg. losing trade,$0.00,$0.00,$0.00,
Ratio avg. win / avg. loss,925.20,925.20,0.00,
,,,,
Max. consec. winners,7,7,0,
Max. consec. losers,0,0,0,
Largest winning trade,$1327.20,$1327.20,$0.00,
Largest losing trade,$0.00,$0.00,$0.00,
,,,,
Avg. # of trades per day,0.03,0.03,0.00,
Avg. time in market,145.91 min,145.91 min,0.00 min,
Avg. bars in trade,9.14,9.14,0.00,
Profit per month,$656.25,$656.25,$0.00,
Max. time to recover,0.25 days,0.25 days,0.00 days,
Longest flat period,82.96 days,82.96 days,0.00 min,
,,,,
Avg. MAE,$269.40,$269.40,$0.00,
Avg. MFE,$928.80,$928.80,$0.00,
Avg. ETD,$3.60,$3.60,$0.00,
