Performance,All trades,Long trades,Short trades,
Total net profit,$5716.20,$5716.20,$0.00,
Gross profit,$7127.40,$7127.40,$0.00,
Gross loss,-$1411.20,-$1411.20,$0.00,
Commission,$0.00,$0.00,$0.00,
Profit factor,5.05,5.05,1.00,
Max. drawdown,-$441.00,-$441.00,$0.00,
Sharpe ratio,0.85,0.85,1.00,
Sortino ratio,5.43,5.43,1.00,
Ulcer index,0.00,0.00,0.00,
R squared,0.92,0.92,0.00,
Total Fees,$0.00,$0.00,$0.00,
Probability,1.17%,1.17%,0.00%,
,,,,
Start date,1/01/2025,,,
Start time,12:00 AM,,,
End date,14/11/2025,,,
End time,12:00 AM,,,
,,,,
Total # of trades,14,14,0,
Percent profitable,57.14%,57.14%,0.00%,
# of winning trades,8,8,0,
# of losing trades,6,6,0,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,$408.30,$408.30,$0.00,
Avg. winning trade,$890.93,$890.93,$0.00,
Avg. losing trade,-$235.20,-$235.20,$0.00,
Ratio avg. win / avg. loss,3.79,3.79,0.00,
,,,,
Max. consec. winners,4,4,0,
Max. consec. losers,2,2,0,
Largest winning trade,$1722.00,$1722.00,$0.00,
Largest losing trade,-$420.00,-$420.00,$0.00,
,,,,
Avg. # of trades per day,0.07,0.07,0.00,
Avg. time in market,227.26 min,227.26 min,0.00 min,
Avg. bars in trade,45.07,45.07,0.00,
Profit per month,$591.00,$591.00,$0.00,
Max. time to recover,68.76 days,68.76 days,0.00 days,
Longest flat period,82.94 days,82.94 days,0.00 min,
,,,,
Avg. MAE,$236.40,$236.40,$0.00,
Avg. MFE,$832.20,$832.20,$0.00,
Avg. ETD,$423.90,$423.90,$0.00,
