Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,HO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2.1970,2.1892,22/01/2025 09:15:00,22/01/2025 09:46:22,RangeLongEntry_1,RangeLongStop,-$327.60,-$327.60,$0.00,$0.00,$0.00,$0.00,$0.00,$327.60,$327.60,$655.20,7,
2,HO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2.1236,2.1499,31/01/2025 09:15:00,31/01/2025 10:49:33,RangeLongEntry_2,RangeLongTarget,$1104.60,$777.00,$0.00,$0.00,$0.00,$0.00,$0.00,$113.40,$1104.60,$0.00,19,
3,HO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2.1481,2.1675,7/02/2025 09:20:00,7/02/2025 15:55:05,RangeLongEntry_3,TimeExit,$814.80,$1591.80,$0.00,$0.00,$0.00,$0.00,$0.00,$113.40,$886.20,$71.40,80,
4,HO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2.1140,2.1374,27/02/2025 09:20:09,27/02/2025 15:56:00,RangeLongEntry_4,TimeExit,$982.80,$2574.60,$0.00,$0.00,$0.00,$0.00,$0.00,$12.60,$1197.00,$214.20,80,
5,HO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2.0538,2.0558,4/03/2025 09:15:00,4/03/2025 15:22:22,RangeLongEntry_5,RangeLongStop,$84.00,$2658.60,$0.00,$0.00,$0.00,$0.00,$0.00,$172.20,$1411.20,$1327.20,74,
6,HO 12-25,Backtest,RangeOpenAdvanced305,Long,1,1.8734,1.8709,2/05/2025 09:20:00,2/05/2025 15:55:32,RangeLongEntry_6,TimeExit,-$105.00,$2553.60,$0.00,$0.00,$0.00,$0.00,$0.00,$617.40,$743.40,$848.40,80,
7,HO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2.0073,1.9993,12/05/2025 09:15:00,12/05/2025 09:31:04,RangeLongEntry_7,RangeLongStop,-$336.00,$2217.60,$0.00,$0.00,$0.00,$0.00,$0.00,$336.00,$0.00,$336.00,4,
8,HO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2.0083,2.0279,13/05/2025 09:10:15,13/05/2025 10:45:27,RangeLongEntry_8,RangeLongTarget,$823.20,$3040.80,$0.00,$0.00,$0.00,$0.00,$0.00,$189.00,$823.20,$0.00,20,
9,HO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2.2488,2.2898,4/08/2025 09:20:00,4/08/2025 09:50:55,RangeLongEntry_9,RangeLongTarget,$1722.00,$4762.80,$0.00,$0.00,$0.00,$0.00,$0.00,$84.00,$1722.00,$0.00,7,
10,HO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2.2783,2.2755,22/08/2025 09:10:03,22/08/2025 15:56:38,RangeLongEntry_10,TimeExit,-$117.60,$4645.20,$0.00,$0.00,$0.00,$0.00,$0.00,$348.60,$890.40,$1008.00,82,
11,HO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2.2834,2.2912,8/09/2025 09:15:00,8/09/2025 15:58:30,RangeLongEntry_11,TimeExit,$327.60,$4972.80,$0.00,$0.00,$0.00,$0.00,$0.00,$268.80,$462.00,$134.40,80,
12,HO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2.2157,2.2132,3/10/2025 09:20:01,3/10/2025 15:55:01,RangeLongEntry_12,TimeExit,-$105.00,$4867.80,$0.00,$0.00,$0.00,$0.00,$0.00,$302.40,$810.60,$915.60,80,
13,HO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2.1605,2.1907,21/10/2025 09:15:03,21/10/2025 11:38:40,RangeLongEntry_13,RangeLongTarget,$1268.40,$6136.20,$0.00,$0.00,$0.00,$0.00,$0.00,$4.20,$1268.40,$0.00,29,
14,HO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2.5000,2.4900,12/11/2025 09:10:00,12/11/2025 09:21:02,RangeLongEntry_14,RangeLongStop,-$420.00,$5716.20,$0.00,$0.00,$0.00,$0.00,$0.00,$420.00,$4.20,$424.20,3,
