Performance,All trades,Long trades,Short trades,
Total net profit,$6562.50,$0.00,$6562.50,
Gross profit,$7593.75,$0.00,$7593.75,
Gross loss,-$1031.25,$0.00,-$1031.25,
Commission,$0.00,$0.00,$0.00,
Profit factor,7.36,1.00,7.36,
Max. drawdown,-$500.00,$0.00,-$500.00,
Sharpe ratio,1.22,1.00,1.22,
Sortino ratio,3.94,1.00,3.94,
Ulcer index,0.00,0.00,0.00,
R squared,0.97,0.00,0.97,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.04%,0.00%,0.04%,
,,,,
Start date,1/01/2025,,,
Start time,12:00 AM,,,
End date,14/11/2025,,,
End time,12:00 AM,,,
,,,,
Total # of trades,17,0,17,
Percent profitable,82.35%,0.00%,82.35%,
# of winning trades,14,0,14,
# of losing trades,3,0,3,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,$386.03,$0.00,$386.03,
Avg. winning trade,$542.41,$0.00,$542.41,
Avg. losing trade,-$343.75,$0.00,-$343.75,
Ratio avg. win / avg. loss,1.58,0.00,1.58,
,,,,
Max. consec. winners,6,0,6,
Max. consec. losers,1,0,1,
Largest winning trade,$1031.25,$0.00,$1031.25,
Largest losing trade,-$500.00,$0.00,-$500.00,
,,,,
Avg. # of trades per day,0.08,0.00,0.08,
Avg. time in market,227.95 min,0.00 min,227.95 min,
Avg. bars in trade,28.29,0.00,28.29,
Profit per month,$678.50,$0.00,$678.50,
Max. time to recover,47.96 days,0.00 days,47.96 days,
Longest flat period,40.96 days,0.00 min,40.96 days,
,,,,
Avg. MAE,$191.18,$0.00,$191.18,
Avg. MFE,$591.91,$0.00,$591.91,
Avg. ETD,$205.88,$0.00,$205.88,
