Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,QI 12-25,Backtest,RangeOpenAdvanced305,Short,1,32.1250,31.9250,13/01/2025 09:18:44,13/01/2025 15:59:03,RangeShortEntry_1,Exit on session close,$500.00,$500.00,$0.00,$0.00,$0.00,$0.00,$0.00,$62.50,$656.25,$156.25,38,
2,QI 12-25,Backtest,RangeOpenAdvanced305,Short,1,32.8375,32.6750,17/01/2025 09:31:16,17/01/2025 15:59:36,RangeShortEntry_2,Exit on session close,$406.25,$906.25,$0.00,$0.00,$0.00,$0.00,$0.00,$93.75,$656.25,$250.00,42,
3,QI 12-25,Backtest,RangeOpenAdvanced305,Short,1,34.7250,34.9250,18/02/2025 09:19:04,18/02/2025 10:08:23,RangeShortEntry_3,RangeShortStop,-$500.00,$406.25,$0.00,$0.00,$0.00,$0.00,$0.00,$500.00,$281.25,$781.25,9,
4,QI 12-25,Backtest,RangeOpenAdvanced305,Short,1,34.4875,34.4750,6/03/2025 09:25:50,6/03/2025 15:06:28,RangeShortEntry_4,Exit on session close,$31.25,$437.50,$0.00,$0.00,$0.00,$0.00,$0.00,$406.25,$250.00,$218.75,29,
5,QI 12-25,Backtest,RangeOpenAdvanced305,Short,1,36.4250,36.1125,28/03/2025 09:16:15,28/03/2025 15:57:01,RangeShortEntry_5,TimeExit,$781.25,$1218.75,$0.00,$0.00,$0.00,$0.00,$0.00,$250.00,$1187.50,$406.25,57,
6,QI 12-25,Backtest,RangeOpenAdvanced305,Short,1,31.7000,31.3000,8/04/2025 09:23:23,8/04/2025 10:58:13,RangeShortEntry_6,RangeShortTarget,$1000.00,$2218.75,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1000.00,$0.00,16,
7,QI 12-25,Backtest,RangeOpenAdvanced305,Short,1,34.6125,34.6625,24/04/2025 10:09:35,24/04/2025 11:09:20,RangeShortEntry_7,RangeShortStop,-$125.00,$2093.75,$0.00,$0.00,$0.00,$0.00,$0.00,$125.00,$156.25,$281.25,5,
8,QI 12-25,Backtest,RangeOpenAdvanced305,Short,1,34.1500,33.9625,28/05/2025 09:31:07,28/05/2025 15:12:45,RangeShortEntry_8,Exit on session close,$468.75,$2562.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$468.75,$0.00,27,
9,QI 12-25,Backtest,RangeOpenAdvanced305,Short,1,38.0250,37.7875,17/06/2025 09:23:07,17/06/2025 09:38:17,RangeShortEntry_9,RangeShortTarget,$593.75,$3156.25,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$593.75,$0.00,4,
10,QI 12-25,Backtest,RangeOpenAdvanced305,Short,1,39.1750,38.9500,18/07/2025 09:26:38,18/07/2025 15:59:14,RangeShortEntry_10,Exit on session close,$562.50,$3718.75,$0.00,$0.00,$0.00,$0.00,$0.00,$31.25,$625.00,$62.50,54,
11,QI 12-25,Backtest,RangeOpenAdvanced305,Short,1,40.2750,40.0875,23/07/2025 09:23:21,23/07/2025 11:01:14,RangeShortEntry_11,RangeShortTarget,$468.75,$4187.50,$0.00,$0.00,$0.00,$0.00,$0.00,$375.00,$468.75,$0.00,21,
12,QI 12-25,Backtest,RangeOpenAdvanced305,Short,1,38.4375,38.2125,11/08/2025 09:10:27,11/08/2025 15:47:25,RangeShortEntry_12,RangeShortTarget,$562.50,$4750.00,$0.00,$0.00,$0.00,$0.00,$0.00,$125.00,$562.50,$0.00,55,
13,QI 12-25,Backtest,RangeOpenAdvanced305,Short,1,41.4500,41.3500,9/09/2025 09:11:00,9/09/2025 15:59:55,RangeShortEntry_13,Exit on session close,$250.00,$5000.00,$0.00,$0.00,$0.00,$0.00,$0.00,$281.25,$562.50,$312.50,56,
14,QI 12-25,Backtest,RangeOpenAdvanced305,Short,1,41.8625,42.0250,11/09/2025 09:11:57,11/09/2025 10:18:26,RangeShortEntry_14,RangeShortStop,-$406.25,$4593.75,$0.00,$0.00,$0.00,$0.00,$0.00,$406.25,$250.00,$656.25,13,
15,QI 12-25,Backtest,RangeOpenAdvanced305,Short,1,48.1250,47.7125,22/10/2025 09:15:06,22/10/2025 09:32:37,RangeShortEntry_15,RangeShortTarget,$1031.25,$5625.00,$0.00,$0.00,$0.00,$0.00,$0.00,$156.25,$1031.25,$0.00,4,
16,QI 12-25,Backtest,RangeOpenAdvanced305,Short,1,48.8625,48.6500,23/10/2025 09:16:08,23/10/2025 15:56:28,RangeShortEntry_16,Exit on session close,$531.25,$6156.25,$0.00,$0.00,$0.00,$0.00,$0.00,$437.50,$906.25,$375.00,65,
17,QI 12-25,Backtest,RangeOpenAdvanced305,Short,1,48.4625,48.3000,3/11/2025 09:21:21,3/11/2025 09:25:05,RangeShortEntry_17,RangeShortTarget,$406.25,$6562.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$406.25,$0.00,3,
