Performance,All trades,Long trades,Short trades,
Total net profit,$8062.50,$4050.00,$4012.50,
Gross profit,$11912.50,$5150.00,$6762.50,
Gross loss,-$3850.00,-$1100.00,-$2750.00,
Commission,$0.00,$0.00,$0.00,
Profit factor,3.09,4.68,2.46,
Max. drawdown,-$912.50,-$325.00,-$850.00,
Sharpe ratio,0.86,0.71,0.70,
Sortino ratio,2.66,4.72,1.48,
Ulcer index,0.01,0.00,0.01,
R squared,0.91,0.86,0.85,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.02%,0.07%,1.82%,
,,,,
Start date,1/01/2025,,,
Start time,12:00 AM,,,
End date,14/11/2025,,,
End time,12:00 AM,,,
,,,,
Total # of trades,58,26,32,
Percent profitable,67.24%,73.08%,62.50%,
# of winning trades,39,19,20,
# of losing trades,19,7,12,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,$139.01,$155.77,$125.39,
Avg. winning trade,$305.45,$271.05,$338.12,
Avg. losing trade,-$202.63,-$157.14,-$229.17,
Ratio avg. win / avg. loss,1.51,1.72,1.48,
,,,,
Max. consec. winners,8,9,7,
Max. consec. losers,4,2,4,
Largest winning trade,$850.00,$587.50,$850.00,
Largest losing trade,-$425.00,-$250.00,-$425.00,
,,,,
Avg. # of trades per day,0.28,0.15,0.16,
Avg. time in market,278.07 min,310.49 min,251.73 min,
Avg. bars in trade,53.83,60.27,48.59,
Profit per month,$819.69,$476.93,$412.06,
Max. time to recover,55.02 days,70.00 days,129.18 days,
Longest flat period,27.70 days,30.71 days,41.70 days,
,,,,
Avg. MAE,$144.61,$124.04,$161.33,
Avg. MFE,$318.10,$319.23,$317.19,
Avg. ETD,$179.09,$163.46,$191.80,
