Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,QM 12-25,Backtest,RangeOpenAdvanced305,Short,1,67.700,66.900,8/01/2025 09:15:00,8/01/2025 10:20:15,RangeShortEntry_1,RangeShortTarget,$400.00,$400.00,$0.00,$0.00,$0.00,$0.00,$0.00,$62.50,$400.00,$0.00,14,
2,QM 12-25,Backtest,RangeOpenAdvanced305,Short,1,69.375,69.200,24/01/2025 08:50:00,24/01/2025 15:55:34,RangeShortEntry_2,TimeExit,$87.50,$487.50,$0.00,$0.00,$0.00,$0.00,$0.00,$37.50,$337.50,$250.00,86,
3,QM 12-25,Backtest,RangeOpenAdvanced305,Short,1,68.850,67.900,27/01/2025 09:25:14,27/01/2025 10:08:21,RangeShortEntry_3,RangeShortTarget,$475.00,$962.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$475.00,$0.00,9,
4,QM 12-25,Backtest,RangeOpenAdvanced305,Short,1,66.275,65.800,5/02/2025 09:10:11,5/02/2025 15:56:43,RangeShortEntry_4,TimeExit,$237.50,$1200.00,$0.00,$0.00,$0.00,$0.00,$0.00,$162.50,$337.50,$100.00,80,
5,QM 12-25,Backtest,RangeOpenAdvanced305,Short,1,65.725,65.650,7/02/2025 09:05:22,7/02/2025 15:58:40,RangeShortEntry_5,TimeExit,$37.50,$1237.50,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$250.00,$212.50,83,
6,QM 12-25,Backtest,RangeOpenAdvanced305,Short,1,66.850,65.975,12/02/2025 08:50:31,12/02/2025 13:25:50,RangeShortEntry_6,RangeShortTarget,$437.50,$1675.00,$0.00,$0.00,$0.00,$0.00,$0.00,$75.00,$437.50,$0.00,56,
7,QM 12-25,Backtest,RangeOpenAdvanced305,Short,1,66.050,65.325,14/02/2025 09:10:42,14/02/2025 15:55:11,RangeShortEntry_7,TimeExit,$362.50,$2037.50,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$362.50,$0.00,75,
8,QM 12-25,Backtest,RangeOpenAdvanced305,Long,1,66.200,66.600,18/02/2025 08:55:32,18/02/2025 15:56:05,RangeLongEntry_8,TimeExit,$200.00,$2237.50,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$237.50,$37.50,82,
9,QM 12-25,Backtest,RangeOpenAdvanced305,Short,1,64.200,64.550,28/02/2025 08:55:14,28/02/2025 09:33:06,RangeShortEntry_9,RangeShortStop,-$175.00,$2062.50,$0.00,$0.00,$0.00,$0.00,$0.00,$175.00,$125.00,$300.00,8,
10,QM 12-25,Backtest,RangeOpenAdvanced305,Short,1,61.550,61.375,11/03/2025 09:25:13,11/03/2025 15:55:20,RangeShortEntry_10,TimeExit,$87.50,$2150.00,$0.00,$0.00,$0.00,$0.00,$0.00,$125.00,$362.50,$275.00,78,
11,QM 12-25,Backtest,RangeOpenAdvanced305,Short,1,61.900,61.575,13/03/2025 08:55:41,13/03/2025 15:58:58,RangeShortEntry_11,TimeExit,$162.50,$2312.50,$0.00,$0.00,$0.00,$0.00,$0.00,$125.00,$375.00,$212.50,83,
12,QM 12-25,Backtest,RangeOpenAdvanced305,Short,1,61.475,62.025,14/03/2025 09:15:00,14/03/2025 12:03:05,RangeShortEntry_12,RangeShortStop,-$275.00,$2037.50,$0.00,$0.00,$0.00,$0.00,$0.00,$275.00,$37.50,$312.50,34,
13,QM 12-25,Backtest,RangeOpenAdvanced305,Short,1,62.500,62.300,17/03/2025 09:25:29,17/03/2025 15:55:43,RangeShortEntry_13,TimeExit,$100.00,$2137.50,$0.00,$0.00,$0.00,$0.00,$0.00,$87.50,$225.00,$125.00,68,
14,QM 12-25,Backtest,RangeOpenAdvanced305,Long,1,62.875,63.375,21/03/2025 08:55:49,21/03/2025 15:55:06,RangeLongEntry_14,TimeExit,$250.00,$2387.50,$0.00,$0.00,$0.00,$0.00,$0.00,$12.50,$287.50,$37.50,82,
15,QM 12-25,Backtest,RangeOpenAdvanced305,Long,1,64.625,64.950,27/03/2025 09:00:20,27/03/2025 15:56:40,RangeLongEntry_15,TimeExit,$162.50,$2550.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$212.50,$50.00,80,
