Performance,All trades,Long trades,Short trades,
Total net profit,$12925.00,$7987.50,$4937.50,
Gross profit,$17562.50,$10325.00,$7237.50,
Gross loss,-$4637.50,-$2337.50,-$2300.00,
Commission,$0.00,$0.00,$0.00,
Profit factor,3.79,4.42,3.15,
Max. drawdown,-$1050.00,-$1037.50,-$900.00,
Sharpe ratio,1.05,1.05,0.83,
Sortino ratio,6.45,26.74,3.06,
Ulcer index,0.00,0.00,0.00,
R squared,0.93,0.92,0.87,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.04%,0.42%,1.50%,
,,,,
Start date,1/01/2025,,,
Start time,12:00 AM,,,
End date,14/11/2025,,,
End time,12:00 AM,,,
,,,,
Total # of trades,42,20,22,
Percent profitable,69.05%,70.00%,68.18%,
# of winning trades,29,14,15,
# of losing trades,13,6,7,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,$307.74,$399.38,$224.43,
Avg. winning trade,$605.60,$737.50,$482.50,
Avg. losing trade,-$356.73,-$389.58,-$328.57,
Ratio avg. win / avg. loss,1.70,1.89,1.47,
,,,,
Max. consec. winners,9,7,3,
Max. consec. losers,2,2,2,
Largest winning trade,$2100.00,$2100.00,$1150.00,
Largest losing trade,-$700.00,-$700.00,-$537.50,
,,,,
Avg. # of trades per day,0.21,0.10,0.13,
Avg. time in market,226.54 min,291.23 min,167.74 min,
Avg. bars in trade,39.76,52.25,28.41,
Profit per month,$1378.37,$851.81,$622.29,
Max. time to recover,68.00 days,36.00 days,101.22 days,
Longest flat period,30.73 days,50.73 days,54.92 days,
,,,,
Avg. MAE,$218.75,$241.25,$198.30,
Avg. MFE,$605.06,$706.88,$512.50,
Avg. ETD,$297.32,$307.50,$288.07,
