Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2818.75,2812.00,8/01/2025 09:13:51,8/01/2025 11:36:29,RangeLongEntry_1,RangeLongStop,-$337.50,-$337.50,$0.00,$0.00,$0.00,$0.00,$0.00,$337.50,$350.00,$687.50,24,
2,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2866.50,2852.50,10/01/2025 09:16:15,10/01/2025 12:30:43,RangeLongEntry_2,RangeLongStop,-$700.00,-$1037.50,$0.00,$0.00,$0.00,$0.00,$0.00,$700.00,$287.50,$987.50,37,
3,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2841.00,2860.50,15/01/2025 09:36:34,15/01/2025 15:12:32,RangeLongEntry_3,RangeLongTarget,$975.00,-$62.50,$0.00,$0.00,$0.00,$0.00,$0.00,$200.00,$975.00,$0.00,52,
4,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2900.25,2910.75,28/01/2025 09:21:43,28/01/2025 12:45:22,RangeLongEntry_4,RangeLongTarget,$525.00,$462.50,$0.00,$0.00,$0.00,$0.00,$0.00,$87.50,$525.00,$0.00,36,
5,QO 12-25,Backtest,RangeOpenAdvanced305,Short,1,2967.00,2944.50,31/01/2025 09:26:01,31/01/2025 12:31:33,RangeShortEntry_5,RangeShortTarget,$1125.00,$1587.50,$0.00,$0.00,$0.00,$0.00,$0.00,$150.00,$1125.00,$0.00,36,
6,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,2980.25,2992.00,6/02/2025 09:20:45,6/02/2025 15:30:51,RangeLongEntry_6,Exit on session close,$587.50,$2175.00,$0.00,$0.00,$0.00,$0.00,$0.00,$87.50,$625.00,$37.50,50,
7,QO 12-25,Backtest,RangeOpenAdvanced305,Short,1,3025.75,3023.00,17/02/2025 09:12:13,17/02/2025 11:59:26,RangeShortEntry_7,Exit on session close,$137.50,$2312.50,$0.00,$0.00,$0.00,$0.00,$0.00,$25.00,$225.00,$87.50,30,
8,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3063.50,3080.50,24/02/2025 09:22:21,24/02/2025 15:55:02,RangeLongEntry_8,TimeExit,$850.00,$3162.50,$0.00,$0.00,$0.00,$0.00,$0.00,$137.50,$850.00,$0.00,73,
9,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3002.25,3016.50,3/03/2025 09:10:29,3/03/2025 15:59:08,RangeLongEntry_9,Exit on session close,$712.50,$3875.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$787.50,$75.00,74,
10,QO 12-25,Backtest,RangeOpenAdvanced305,Long,1,3033.75,3041.50,4/03/2025 09:15:02,4/03/2025 15:59:50,RangeLongEntry_10,TimeExit,$387.50,$4262.50,$0.00,$0.00,$0.00,$0.00,$0.00,$487.50,$475.00,$87.50,76,
