Performance,All trades,Long trades,Short trades,
Total net profit,$15888.60,$7954.80,$7933.80,
Gross profit,$21890.40,$12066.60,$9823.80,
Gross loss,-$6001.80,-$4111.80,-$1890.00,
Commission,$0.00,$0.00,$0.00,
Profit factor,3.65,2.93,5.20,
Max. drawdown,-$1087.80,-$852.60,-$1037.40,
Sharpe ratio,1.14,0.69,0.91,
Sortino ratio,10.46,2.97,6.18,
Ulcer index,0.00,0.00,0.00,
R squared,0.95,0.93,0.94,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.03%,1.03%,0.32%,
,,,,
Start date,1/01/2025,,,
Start time,12:00 AM,,,
End date,14/11/2025,,,
End time,12:00 AM,,,
,,,,
Total # of trades,46,29,17,
Percent profitable,63.04%,55.17%,76.47%,
# of winning trades,29,16,13,
# of losing trades,17,13,4,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,$345.40,$274.30,$466.69,
Avg. winning trade,$754.84,$754.16,$755.68,
Avg. losing trade,-$353.05,-$316.29,-$472.50,
Ratio avg. win / avg. loss,2.14,2.38,1.60,
,,,,
Max. consec. winners,6,5,6,
Max. consec. losers,2,2,2,
Largest winning trade,$1797.60,$1797.60,$1541.40,
Largest losing trade,-$672.00,-$436.80,-$672.00,
,,,,
Avg. # of trades per day,0.21,0.14,0.09,
Avg. time in market,267.67 min,243.40 min,309.05 min,
Avg. bars in trade,53.13,48.21,61.53,
Profit per month,$1563.23,$782.65,$855.06,
Max. time to recover,35.00 days,53.00 days,58.83 days,
Longest flat period,25.98 days,40.99 days,48.99 days,
,,,,
Avg. MAE,$253.19,$233.32,$287.08,
Avg. MFE,$767.41,$639.56,$985.52,
Avg. ETD,$422.01,$365.26,$518.82,
