Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,RB 12-25,Backtest,RangeOpenAdvanced305,Long,1,1.9115,1.9025,8/01/2025 09:00:01,8/01/2025 09:30:00,RangeLongEntry_1,RangeLongStop,-$378.00,-$378.00,$0.00,$0.00,$0.00,$0.00,$0.00,$378.00,$218.40,$596.40,7,
2,RB 12-25,Backtest,RangeOpenAdvanced305,Short,1,1.9619,1.9252,3/02/2025 09:05:01,3/02/2025 15:55:05,RangeShortEntry_2,TimeExit,$1541.40,$1163.40,$0.00,$0.00,$0.00,$0.00,$0.00,$222.60,$1806.00,$264.60,83,
3,RB 12-25,Backtest,RangeOpenAdvanced305,Short,1,1.9077,1.8985,5/02/2025 09:10:01,5/02/2025 15:55:43,RangeShortEntry_3,TimeExit,$386.40,$1549.80,$0.00,$0.00,$0.00,$0.00,$0.00,$340.20,$894.60,$508.20,82,
4,RB 12-25,Backtest,RangeOpenAdvanced305,Long,1,1.9464,1.9374,18/02/2025 09:10:00,18/02/2025 09:52:22,RangeLongEntry_4,RangeLongStop,-$378.00,$1171.80,$0.00,$0.00,$0.00,$0.00,$0.00,$378.00,$168.00,$546.00,9,
5,RB 12-25,Backtest,RangeOpenAdvanced305,Long,1,1.8429,1.8614,27/02/2025 09:20:05,27/02/2025 15:56:43,RangeLongEntry_5,TimeExit,$777.00,$1948.80,$0.00,$0.00,$0.00,$0.00,$0.00,$4.20,$987.00,$210.00,80,
6,RB 12-25,Backtest,RangeOpenAdvanced305,Short,1,1.7431,1.7423,5/03/2025 08:55:00,5/03/2025 11:55:40,RangeShortEntry_6,RangeShortStop,$33.60,$1982.40,$0.00,$0.00,$0.00,$0.00,$0.00,$390.60,$1066.80,$1033.20,37,
7,RB 12-25,Backtest,RangeOpenAdvanced305,Short,1,1.8134,1.7829,18/03/2025 09:05:13,18/03/2025 15:55:09,RangeShortEntry_7,TimeExit,$1281.00,$3263.40,$0.00,$0.00,$0.00,$0.00,$0.00,$54.60,$1470.00,$189.00,82,
8,RB 12-25,Backtest,RangeOpenAdvanced305,Long,1,1.7916,1.7910,19/03/2025 09:00:00,19/03/2025 15:55:42,RangeLongEntry_8,TimeExit,-$25.20,$3238.20,$0.00,$0.00,$0.00,$0.00,$0.00,$268.80,$651.00,$676.20,84,
9,RB 12-25,Backtest,RangeOpenAdvanced305,Short,1,1.8370,1.8368,25/03/2025 09:25:02,25/03/2025 15:56:26,RangeShortEntry_9,TimeExit,$8.40,$3246.60,$0.00,$0.00,$0.00,$0.00,$0.00,$109.20,$840.00,$831.60,79,
10,RB 12-25,Backtest,RangeOpenAdvanced305,Long,1,1.8568,1.8708,27/03/2025 09:00:01,27/03/2025 15:58:14,RangeLongEntry_10,TimeExit,$588.00,$3834.60,$0.00,$0.00,$0.00,$0.00,$0.00,$306.60,$726.60,$138.60,84,
11,RB 12-25,Backtest,RangeOpenAdvanced305,Short,1,1.7792,1.7710,3/04/2025 08:55:01,3/04/2025 15:55:37,RangeShortEntry_11,TimeExit,$344.40,$4179.00,$0.00,$0.00,$0.00,$0.00,$0.00,$361.20,$911.40,$567.00,85,
12,RB 12-25,Backtest,RangeOpenAdvanced305,Long,1,1.6878,1.7199,17/04/2025 09:10:13,17/04/2025 11:06:07,RangeLongEntry_12,RangeLongTarget,$1348.20,$5527.20,$0.00,$0.00,$0.00,$0.00,$0.00,$88.20,$1348.20,$0.00,24,
13,RB 12-25,Backtest,RangeOpenAdvanced305,Short,1,1.6650,1.6810,21/04/2025 09:00:01,21/04/2025 09:11:37,RangeShortEntry_13,RangeShortStop,-$672.00,$4855.20,$0.00,$0.00,$0.00,$0.00,$0.00,$672.00,$21.00,$693.00,3,
14,RB 12-25,Backtest,RangeOpenAdvanced305,Long,1,1.6620,1.6521,1/05/2025 08:50:00,1/05/2025 11:00:07,RangeLongEntry_14,RangeLongStop,-$415.80,$4439.40,$0.00,$0.00,$0.00,$0.00,$0.00,$415.80,$462.00,$877.80,27,
15,RB 12-25,Backtest,RangeOpenAdvanced305,Short,1,1.7819,1.7609,12/05/2025 08:45:00,12/05/2025 15:55:16,RangeShortEntry_15,TimeExit,$882.00,$5321.40,$0.00,$0.00,$0.00,$0.00,$0.00,$54.60,$1197.00,$315.00,87,
16,RB 12-25,Backtest,RangeOpenAdvanced305,Long,1,1.8007,1.7903,14/05/2025 08:55:05,14/05/2025 09:42:27,RangeLongEntry_16,RangeLongStop,-$436.80,$4884.60,$0.00,$0.00,$0.00,$0.00,$0.00,$436.80,$197.40,$634.20,10,
17,RB 12-25,Backtest,RangeOpenAdvanced305,Long,1,1.7521,1.7595,15/05/2025 09:00:00,15/05/2025 15:56:15,RangeLongEntry_17,TimeExit,$310.80,$5195.40,$0.00,$0.00,$0.00,$0.00,$0.00,$394.80,$474.60,$163.80,82,
18,RB 12-25,Backtest,RangeOpenAdvanced305,Long,1,1.7502,1.7663,19/05/2025 09:15:08,19/05/2025 15:58:15,RangeLongEntry_18,TimeExit,$676.20,$5871.60,$0.00,$0.00,$0.00,$0.00,$0.00,$121.80,$953.40,$277.20,79,
19,RB 12-25,Backtest,RangeOpenAdvanced305,Long,1,1.7487,1.7594,22/05/2025 09:15:02,22/05/2025 15:55:30,RangeLongEntry_19,TimeExit,$449.40,$6321.00,$0.00,$0.00,$0.00,$0.00,$0.00,$147.00,$743.40,$294.00,81,
