Performance,All trades,Long trades,Short trades,
Total net profit,$12650.00,$6410.00,$6240.00,
Gross profit,$13030.00,$6790.00,$6240.00,
Gross loss,-$380.00,-$380.00,$0.00,
Commission,$0.00,$0.00,$0.00,
Profit factor,34.29,17.87,99.00,
Max. drawdown,-$380.00,-$380.00,$0.00,
Sharpe ratio,1.87,1.12,1.07,
Sortino ratio,1.00,6.51,1.00,
Ulcer index,0.00,0.00,0.00,
R squared,0.99,0.95,0.98,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.00%,0.01%,0.08%,
,,,,
Start date,1/01/2025,,,
Start time,12:00 AM,,,
End date,15/11/2025,,,
End time,12:00 AM,,,
,,,,
Total # of trades,21,15,6,
Percent profitable,95.24%,93.33%,100.00%,
# of winning trades,20,14,6,
# of losing trades,1,1,0,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,$602.38,$427.33,$1040.00,
Avg. winning trade,$651.50,$485.00,$1040.00,
Avg. losing trade,-$380.00,-$380.00,$0.00,
Ratio avg. win / avg. loss,1.71,1.28,1040.00,
,,,,
Max. consec. winners,16,13,6,
Max. consec. losers,1,1,0,
Largest winning trade,$1925.00,$965.00,$1925.00,
Largest losing trade,-$380.00,-$380.00,$0.00,
,,,,
Avg. # of trades per day,0.10,0.07,0.05,
Avg. time in market,345.84 min,366.52 min,294.15 min,
Avg. bars in trade,20.24,21.33,17.50,
Profit per month,$1248.62,$651.68,$1081.36,
Max. time to recover,28.00 days,28.00 days,0.11 days,
Longest flat period,42.86 days,75.71 days,56.71 days,
,,,,
Avg. MAE,$278.57,$321.67,$170.83,
Avg. MFE,$794.52,$659.67,$1131.67,
Avg. ETD,$192.14,$232.33,$91.67,
