Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,RTY 12-25,Backtest,RangeOpenAdvanced305,Long,1,2295.0,2305.3,8/01/2025 10:15:01,8/01/2025 17:00:00,RangeLongEntry_1,TimeExit,$515.00,$515.00,$0.00,$0.00,$0.00,$0.00,$0.00,$490.00,$830.00,$315.00,24,
2,RTY 12-25,Backtest,RangeOpenAdvanced305,Long,1,2370.0,2379.8,21/01/2025 09:45:00,21/01/2025 17:00:01,RangeLongEntry_2,TimeExit,$490.00,$1005.00,$0.00,$0.00,$0.00,$0.00,$0.00,$245.00,$760.00,$270.00,26,
3,RTY 12-25,Backtest,RangeOpenAdvanced305,Long,1,2362.8,2376.5,23/01/2025 10:00:00,23/01/2025 17:00:00,RangeLongEntry_3,TimeExit,$685.00,$1690.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$800.00,$115.00,25,
4,RTY 12-25,Backtest,RangeOpenAdvanced305,Long,1,2330.7,2345.6,3/02/2025 09:45:00,3/02/2025 17:00:00,RangeLongEntry_4,TimeExit,$745.00,$2435.00,$0.00,$0.00,$0.00,$0.00,$0.00,$920.00,$745.00,$0.00,26,
5,RTY 12-25,Backtest,RangeOpenAdvanced305,Long,1,2088.0,2090.3,14/03/2025 10:15:00,14/03/2025 15:59:58,RangeLongEntry_5,Exit on session close,$115.00,$2550.00,$0.00,$0.00,$0.00,$0.00,$0.00,$225.00,$490.00,$375.00,22,
6,RTY 12-25,Backtest,RangeOpenAdvanced305,Long,1,2098.7,2111.3,21/03/2025 10:15:00,21/03/2025 15:59:57,RangeLongEntry_6,Exit on session close,$630.00,$3180.00,$0.00,$0.00,$0.00,$0.00,$0.00,$230.00,$735.00,$105.00,22,
7,RTY 12-25,Backtest,RangeOpenAdvanced305,Long,1,2057.9,2061.8,1/04/2025 10:00:00,1/04/2025 17:00:00,RangeLongEntry_7,TimeExit,$195.00,$3375.00,$0.00,$0.00,$0.00,$0.00,$0.00,$780.00,$1055.00,$860.00,25,
8,RTY 12-25,Backtest,RangeOpenAdvanced305,Long,1,1977.6,1996.9,30/04/2025 09:45:00,30/04/2025 11:01:24,RangeLongEntry_8,RangeLongTarget,$965.00,$4340.00,$0.00,$0.00,$0.00,$0.00,$0.00,$170.00,$965.00,$0.00,6,
9,RTY 12-25,Backtest,RangeOpenAdvanced305,Long,1,2121.7,2134.3,15/05/2025 10:15:00,15/05/2025 12:21:29,RangeLongEntry_9,RangeLongTarget,$630.00,$4970.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,$630.00,$0.00,9,
10,RTY 12-25,Backtest,RangeOpenAdvanced305,Short,1,2119.8,2096.4,21/05/2025 09:45:00,21/05/2025 12:23:23,RangeShortEntry_10,RangeShortTarget,$1170.00,$6140.00,$0.00,$0.00,$0.00,$0.00,$0.00,$370.00,$1170.00,$0.00,11,
