Performance,All trades,Long trades,Short trades,
Total net profit,$8700.00,$8700.00,$0.00,
Gross profit,$9200.00,$9200.00,$0.00,
Gross loss,-$500.00,-$500.00,$0.00,
Commission,$0.00,$0.00,$0.00,
Profit factor,18.40,18.40,1.00,
Max. drawdown,-$275.00,-$275.00,$0.00,
Sharpe ratio,1.09,1.09,1.00,
Sortino ratio,24.67,24.67,1.00,
Ulcer index,0.00,0.00,0.00,
R squared,0.98,0.98,0.00,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.09%,0.09%,0.00%,
,,,,
Start date,1/01/2025,,,
Start time,12:00 AM,,,
End date,14/11/2025,,,
End time,12:00 AM,,,
,,,,
Total # of trades,11,11,0,
Percent profitable,72.73%,72.73%,0.00%,
# of winning trades,8,8,0,
# of losing trades,3,3,0,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,$790.91,$790.91,$0.00,
Avg. winning trade,$1150.00,$1150.00,$0.00,
Avg. losing trade,-$166.67,-$166.67,$0.00,
Ratio avg. win / avg. loss,6.90,6.90,0.00,
,,,,
Max. consec. winners,3,3,0,
Max. consec. losers,1,1,0,
Largest winning trade,$1675.00,$1675.00,$0.00,
Largest losing trade,-$275.00,-$275.00,$0.00,
,,,,
Avg. # of trades per day,0.07,0.07,0.00,
Avg. time in market,325.78 min,325.78 min,0.00 min,
Avg. bars in trade,65.00,65.00,0.00,
Profit per month,$1179.33,$1179.33,$0.00,
Max. time to recover,23.00 days,23.00 days,0.00 days,
Longest flat period,48.73 days,48.73 days,0.00 min,
,,,,
Avg. MAE,$340.91,$340.91,$0.00,
Avg. MFE,$1115.91,$1115.91,$0.00,
Avg. ETD,$325.00,$325.00,$0.00,
