Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,SI 12-25,Backtest,RangeOpenAdvanced305,Long,1,31.355,31.440,2/01/2025 09:20:03,2/01/2025 15:55:00,RangeLongEntry_1,TimeExit,$425.00,$425.00,$0.00,$0.00,$0.00,$0.00,$0.00,$375.00,$750.00,$325.00,80,
2,SI 12-25,Backtest,RangeOpenAdvanced305,Long,1,33.870,34.130,6/02/2025 09:20:03,6/02/2025 15:55:37,RangeLongEntry_2,TimeExit,$1300.00,$1725.00,$0.00,$0.00,$0.00,$0.00,$0.00,$75.00,$1500.00,$200.00,80,
3,SI 12-25,Backtest,RangeOpenAdvanced305,Long,1,33.775,33.720,11/02/2025 09:15:00,11/02/2025 15:55:24,RangeLongEntry_3,TimeExit,-$275.00,$1450.00,$0.00,$0.00,$0.00,$0.00,$0.00,$425.00,$475.00,$750.00,81,
4,SI 12-25,Backtest,RangeOpenAdvanced305,Long,1,34.050,34.325,12/02/2025 09:25:00,12/02/2025 11:55:28,RangeLongEntry_4,RangeLongTarget,$1375.00,$2825.00,$0.00,$0.00,$0.00,$0.00,$0.00,$175.00,$1375.00,$0.00,31,
5,SI 12-25,Backtest,RangeOpenAdvanced305,Long,1,34.560,34.680,21/03/2025 09:25:00,21/03/2025 15:55:01,RangeLongEntry_5,TimeExit,$600.00,$3425.00,$0.00,$0.00,$0.00,$0.00,$0.00,$500.00,$775.00,$175.00,79,
6,SI 12-25,Backtest,RangeOpenAdvanced305,Long,1,32.790,33.090,11/04/2025 09:15:00,11/04/2025 09:56:09,RangeLongEntry_6,RangeLongTarget,$1500.00,$4925.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$1500.00,$0.00,9,
7,SI 12-25,Backtest,RangeOpenAdvanced305,Long,1,33.680,33.665,30/04/2025 09:15:00,30/04/2025 15:55:44,RangeLongEntry_7,TimeExit,-$75.00,$4850.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1075.00,$775.00,$850.00,81,
8,SI 12-25,Backtest,RangeOpenAdvanced305,Long,1,34.205,34.515,23/05/2025 09:20:00,23/05/2025 13:09:56,RangeLongEntry_8,RangeLongTarget,$1550.00,$6400.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,$1550.00,$0.00,46,
9,SI 12-25,Backtest,RangeOpenAdvanced305,Long,1,35.355,35.510,3/06/2025 09:15:00,3/06/2025 15:55:07,RangeLongEntry_9,TimeExit,$775.00,$7175.00,$0.00,$0.00,$0.00,$0.00,$0.00,$50.00,$1150.00,$375.00,81,
10,SI 12-25,Backtest,RangeOpenAdvanced305,Long,1,39.825,40.160,22/07/2025 09:25:00,22/07/2025 15:55:18,RangeLongEntry_10,TimeExit,$1675.00,$8850.00,$0.00,$0.00,$0.00,$0.00,$0.00,$100.00,$1725.00,$50.00,79,
11,SI 12-25,Backtest,RangeOpenAdvanced305,Long,1,38.555,38.525,14/08/2025 09:25:06,14/08/2025 15:55:03,RangeLongEntry_11,TimeExit,-$150.00,$8700.00,$0.00,$0.00,$0.00,$0.00,$0.00,$825.00,$700.00,$850.00,79,
