Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
1,YM 12-25,Backtest,RangeOpenAdvanced305,Long,1,43930,43985,3/01/2025 10:15:00,3/01/2025 16:00:00,RangeLongEntry_1,Exit on session close,$275.00,$275.00,$0.00,$0.00,$0.00,$0.00,$0.00,$490.00,$685.00,$410.00,24,
3,YM 12-25,Backtest,RangeOpenAdvanced305,Long,1,45541,45741,3/02/2025 10:00:00,3/02/2025 16:00:00,RangeLongEntry_3,Exit on session close,$1000.00,$735.00,$0.00,$0.00,$0.00,$0.00,$0.00,$695.00,$1315.00,$315.00,25,
4,YM 12-25,Backtest,RangeOpenAdvanced305,Long,1,45593,45689,11/02/2025 10:15:00,11/02/2025 16:00:00,RangeLongEntry_4,Exit on session close,$480.00,$1215.00,$0.00,$0.00,$0.00,$0.00,$0.00,$265.00,$730.00,$250.00,24,
10,YM 12-25,Backtest,RangeOpenAdvanced305,Long,1,45307,45419,25/07/2025 10:15:00,25/07/2025 16:00:00,RangeLongEntry_10,Exit on session close,$560.00,$14455.00,$0.00,$0.00,$0.00,$0.00,$0.00,$290.00,$790.00,$230.00,24,
2,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,45297,45405,22/01/2025 10:15:00,22/01/2025 14:15:00,RangeShortEntry_2,RangeShortStop,-$540.00,-$265.00,$0.00,$0.00,$0.00,$0.00,$0.00,$540.00,$285.00,$825.00,17,
5,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,45753,45627,14/02/2025 10:00:00,14/02/2025 16:00:00,RangeShortEntry_5,Exit on session close,$630.00,$1845.00,$0.00,$0.00,$0.00,$0.00,$0.00,$215.00,$865.00,$235.00,25,
6,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,39644,38104,8/04/2025 10:30:00,8/04/2025 14:45:00,RangeShortEntry_6,RangeShortTarget,$7700.00,$9545.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1180.00,$7700.00,$0.00,18,
7,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,40941,40432,23/04/2025 10:30:00,23/04/2025 16:00:00,RangeShortEntry_7,Exit on session close,$2545.00,$12090.00,$0.00,$0.00,$0.00,$0.00,$0.00,$5.00,$3180.00,$635.00,23,
8,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,42978,42883,13/05/2025 10:15:00,13/05/2025 16:00:00,RangeShortEntry_8,Exit on session close,$475.00,$12565.00,$0.00,$0.00,$0.00,$0.00,$0.00,$475.00,$640.00,$165.00,24,
9,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,42896,42630,30/05/2025 10:30:00,30/05/2025 11:45:00,RangeShortEntry_9,RangeShortTarget,$1330.00,$13895.00,$0.00,$0.00,$0.00,$0.00,$0.00,$240.00,$1330.00,$0.00,6,
11,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,45179,45334,13/08/2025 10:00:00,13/08/2025 13:45:00,RangeShortEntry_11,RangeShortStop,-$775.00,$13680.00,$0.00,$0.00,$0.00,$0.00,$0.00,$775.00,$305.00,$1080.00,16,
12,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,45423,45364,19/08/2025 10:30:00,19/08/2025 16:00:00,RangeShortEntry_12,Exit on session close,$295.00,$13975.00,$0.00,$0.00,$0.00,$0.00,$0.00,$85.00,$960.00,$665.00,23,
13,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,46922,46587,23/09/2025 10:00:00,23/09/2025 12:45:00,RangeShortEntry_13,RangeShortTarget,$1675.00,$15650.00,$0.00,$0.00,$0.00,$0.00,$0.00,$255.00,$1675.00,$0.00,12,
14,YM 12-25,Backtest,RangeOpenAdvanced305,Short,1,46412,46555,26/09/2025 09:45:00,26/09/2025 16:00:00,RangeShortEntry_14,Exit on session close,-$715.00,$14935.00,$0.00,$0.00,$0.00,$0.00,$0.00,$1180.00,$335.00,$1050.00,26,
