Performance,All trades,Long trades,Short trades,
Total net profit,$12465.00,$4380.00,$8085.00,
Gross profit,$13940.00,$5045.00,$8895.00,
Gross loss,-$1475.00,-$665.00,-$810.00,
Commission,$0.00,$0.00,$0.00,
Profit factor,9.45,7.59,10.98,
Max. drawdown,-$665.00,-$665.00,-$425.00,
Sharpe ratio,1.15,0.76,0.97,
Sortino ratio,1.00,1.00,1.00,
Ulcer index,0.00,0.00,0.00,
R squared,0.94,0.91,0.90,
Total Fees,$0.00,$0.00,$0.00,
Probability,0.13%,1.75%,0.96%,
,,,,
Start date,1/01/2025,,,
Start time,12:00 AM,,,
End date,14/11/2025,,,
End time,12:00 AM,,,
,,,,
Total # of trades,16,7,9,
Percent profitable,81.25%,85.71%,77.78%,
# of winning trades,13,6,7,
# of losing trades,3,1,2,
# of even trades,0,0,0,
,,,,
Total slippage,0,0,0,
,,,,
Avg. trade,$779.06,$625.71,$898.33,
Avg. winning trade,$1072.31,$840.83,$1270.71,
Avg. losing trade,-$491.67,-$665.00,-$405.00,
Ratio avg. win / avg. loss,2.18,1.26,3.14,
,,,,
Max. consec. winners,6,6,3,
Max. consec. losers,1,1,1,
Largest winning trade,$2395.00,$1930.00,$2395.00,
Largest losing trade,-$665.00,-$665.00,-$425.00,
,,,,
Avg. # of trades per day,0.08,0.04,0.05,
Avg. time in market,259.62 min,326.75 min,207.41 min,
Avg. bars in trade,51.81,65.29,41.33,
Profit per month,$1329.31,$519.81,$1010.63,
Max. time to recover,50.74 days,0.01 days,63.88 days,
Longest flat period,95.73 days,117.79 days,95.73 days,
,,,,
Avg. MAE,$334.06,$405.00,$278.89,
Avg. MFE,$1119.38,$939.29,$1259.44,
Avg. ETD,$340.31,$313.57,$361.11,
